RIL_Start,end,name,score,strand,file
NC_029256.1_35200488,35200491,mPing|non-reference|NA|A123-0_1|relocate2|sr|43,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_35488880,35488883,mPing|non-reference|NA|A123-0_1|relocate2|sr|44,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_35936947,35936950,mPing|non-reference|NA|A123-0_1|relocate2|sr|45,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_36428441,36428444,mPing|non-reference|NA|A123-0_1|relocate2|sr|46,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_36796589,36796592,mPing|non-reference|NA|A123-0_1|relocate2|sr|47,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_38092037,38092040,mPing|non-reference|NA|A123-0_1|relocate2|sr|48,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_38092618,38092621,mPing|non-reference|NA|A123-0_1|relocate2|sr|49,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_39152890,39152893,mPing|non-reference|NA|A123-0_1|relocate2|sr|50,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_39428259,39428262,mPing|non-reference|NA|A123-0_1|relocate2|sr|51,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_39666830,39666833,mPing|non-reference|NA|A123-0_1|relocate2|sr|52,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_39899559,39899562,mPing|non-reference|NA|A123-0_1|relocate2|sr|53,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_39904179,39904182,mPing|non-reference|NA|A123-0_1|relocate2|sr|54,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_40702080,40702083,mPing|non-reference|NA|A123-0_1|relocate2|sr|55,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_42038821,42038824,mPing|non-reference|NA|A123-0_1|relocate2|sr|56,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_42320293,42320296,mPing|non-reference|NA|A123-0_1|relocate2|sr|57,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029256.1_42365748,42365751,mPing|non-reference|NA|A123-0_1|relocate2|sr|58,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_458589,458592,mPing|non-reference|NA|A123-0_1|relocate2|sr|59,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_681903,681906,mPing|non-reference|NA|A123-0_1|relocate2|sr|60,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_2831106,2831109,mPing|non-reference|NA|A123-0_1|relocate2|sr|61,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_2834012,2834015,mPing|non-reference|NA|A123-0_1|relocate2|sr|62,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_2883907,2883910,mPing|non-reference|NA|A123-0_1|relocate2|sr|63,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_3502593,3502596,mPing|non-reference|NA|A123-0_1|relocate2|sr|64,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_3639033,3639036,mPing|non-reference|NA|A123-0_1|relocate2|sr|65,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_3991330,3991333,mPing|non-reference|NA|A123-0_1|relocate2|sr|66,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_4119847,4119850,mPing|non-reference|NA|A123-0_1|relocate2|sr|67,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_4243727,4243730,mPing|non-reference|NA|A123-0_1|relocate2|sr|68,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_4338129,4338132,mPing|non-reference|NA|A123-0_1|relocate2|sr|69,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_4644590,4644593,mPing|non-reference|NA|A123-0_1|relocate2|sr|70,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_6664414,6664417,mPing|non-reference|NA|A123-0_1|relocate2|sr|71,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_7838214,7838217,mPing|non-reference|NA|A123-0_1|relocate2|sr|72,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_9418869,9418872,mPing|non-reference|NA|A123-0_1|relocate2|sr|73,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_9438879,9438882,mPing|non-reference|NA|A123-0_1|relocate2|sr|74,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_9640960,9640963,mPing|non-reference|NA|A123-0_1|relocate2|sr|75,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_10202907,10202910,mPing|non-reference|NA|A123-0_1|relocate2|sr|76,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_11041881,11041884,mPing|non-reference|NA|A123-0_1|relocate2|sr|77,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_12298995,12298998,mPing|non-reference|NA|A123-0_1|relocate2|sr|78,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_13202373,13202376,mPing|non-reference|NA|A123-0_1|relocate2|sr|79,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_14819923,14819926,mPing|non-reference|NA|A123-0_1|relocate2|sr|80,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_15709146,15709149,mPing|non-reference|NA|A123-0_1|relocate2|sr|81,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_16222087,16222090,mPing|non-reference|NA|A123-0_1|relocate2|sr|82,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_16678146,16678149,mPing|non-reference|NA|A123-0_1|relocate2|sr|83,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_16986965,16986968,mPing|non-reference|NA|A123-0_1|relocate2|sr|84,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_17969908,17969911,mPing|non-reference|NA|A123-0_1|relocate2|sr|85,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_18251855,18251858,mPing|non-reference|NA|A123-0_1|relocate2|sr|86,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_18266144,18266147,mPing|non-reference|NA|A123-0_1|relocate2|sr|87,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_18302508,18302511,mPing|non-reference|NA|A123-0_1|relocate2|sr|88,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_18458308,18458311,mPing|non-reference|NA|A123-0_1|relocate2|sr|89,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_18464452,18464455,mPing|non-reference|NA|A123-0_1|relocate2|sr|90,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_23175181,23175184,mPing|non-reference|NA|A123-0_1|relocate2|sr|91,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_23819509,23819512,mPing|non-reference|NA|A123-0_1|relocate2|sr|92,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_24157147,24157150,mPing|non-reference|NA|A123-0_1|relocate2|sr|93,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_24264668,24264671,mPing|non-reference|NA|A123-0_1|relocate2|sr|94,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_25760794,25760797,mPing|non-reference|NA|A123-0_1|relocate2|sr|95,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_26207952,26207955,mPing|non-reference|NA|A123-0_1|relocate2|sr|96,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_27148056,27148059,mPing|non-reference|NA|A123-0_1|relocate2|sr|97,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_27201254,27201257,mPing|non-reference|NA|A123-0_1|relocate2|sr|98,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_28383043,28383046,mPing|non-reference|NA|A123-0_1|relocate2|sr|99,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_28948533,28948536,mPing|non-reference|NA|A123-0_1|relocate2|sr|100,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_29990405,29990408,mPing|non-reference|NA|A123-0_1|relocate2|sr|101,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_30089816,30089819,mPing|non-reference|NA|A123-0_1|relocate2|sr|102,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_30375297,30375300,mPing|non-reference|NA|A123-0_1|relocate2|sr|103,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_30902244,30902247,mPing|non-reference|NA|A123-0_1|relocate2|sr|104,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_30923597,30923600,mPing|non-reference|NA|A123-0_1|relocate2|sr|105,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_31053561,31053564,mPing|non-reference|NA|A123-0_1|relocate2|sr|106,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_31158664,31158667,mPing|non-reference|NA|A123-0_1|relocate2|sr|107,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_31670396,31670399,mPing|non-reference|NA|A123-0_1|relocate2|sr|108,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_31672501,31672504,mPing|non-reference|NA|A123-0_1|relocate2|sr|109,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_32571629,32571632,mPing|non-reference|NA|A123-0_1|relocate2|sr|110,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_32572074,32572077,mPing|non-reference|NA|A123-0_1|relocate2|sr|111,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_33884289,33884292,mPing|non-reference|NA|A123-0_1|relocate2|sr|112,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_34576206,34576209,mPing|non-reference|NA|A123-0_1|relocate2|sr|113,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_35230683,35230686,mPing|non-reference|NA|A123-0_1|relocate2|sr|114,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_35353667,35353670,mPing|non-reference|NA|A123-0_1|relocate2|sr|115,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029257.1_35711681,35711684,mPing|non-reference|NA|A123-0_1|relocate2|sr|116,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_132031,132034,mPing|non-reference|NA|A123-0_1|relocate2|sr|117,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_1113084,1113087,mPing|non-reference|NA|A123-0_1|relocate2|sr|118,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_1246188,1246191,mPing|non-reference|NA|A123-0_1|relocate2|sr|119,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_1298988,1298991,mPing|non-reference|NA|A123-0_1|relocate2|sr|120,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_1429393,1429396,mPing|non-reference|NA|A123-0_1|relocate2|sr|121,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_1840658,1840661,mPing|non-reference|NA|A123-0_1|relocate2|sr|122,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_2737673,2737676,mPing|non-reference|NA|A123-0_1|relocate2|sr|123,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_3390556,3390559,mPing|non-reference|NA|A123-0_1|relocate2|sr|124,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_3469507,3469510,mPing|non-reference|NA|A123-0_1|relocate2|sr|125,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_3558661,3558664,mPing|non-reference|NA|A123-0_1|relocate2|sr|126,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_4033197,4033200,mPing|non-reference|NA|A123-0_1|relocate2|sr|127,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_4094373,4094376,mPing|non-reference|NA|A123-0_1|relocate2|sr|128,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_4820855,4820858,mPing|non-reference|NA|A123-0_1|relocate2|sr|129,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_5987927,5987930,mPing|non-reference|NA|A123-0_1|relocate2|sr|130,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_6139873,6139876,mPing|non-reference|NA|A123-0_1|relocate2|sr|131,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_6227232,6227235,mPing|non-reference|NA|A123-0_1|relocate2|sr|132,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_6861349,6861352,mPing|non-reference|NA|A123-0_1|relocate2|sr|133,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_8558948,8558951,mPing|non-reference|NA|A123-0_1|relocate2|sr|134,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_8760868,8760871,mPing|non-reference|NA|A123-0_1|relocate2|sr|135,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_9946170,9946173,mPing|non-reference|NA|A123-0_1|relocate2|sr|136,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_10592386,10592389,mPing|non-reference|NA|A123-0_1|relocate2|sr|137,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_10676838,10676841,mPing|non-reference|NA|A123-0_1|relocate2|sr|138,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_11281617,11281620,mPing|non-reference|NA|A123-0_1|relocate2|sr|139,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_11331348,11331351,mPing|non-reference|NA|A123-0_1|relocate2|sr|140,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_12046613,12046616,mPing|non-reference|NA|A123-0_1|relocate2|sr|141,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_12158053,12158056,mPing|non-reference|NA|A123-0_1|relocate2|sr|142,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_12571104,12571107,mPing|non-reference|NA|A123-0_1|relocate2|sr|143,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_13282282,13282285,mPing|non-reference|NA|A123-0_1|relocate2|sr|144,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_14620264,14620267,mPing|non-reference|NA|A123-0_1|relocate2|sr|145,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_16846775,16846778,mPing|non-reference|NA|A123-0_1|relocate2|sr|146,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_17269649,17269652,mPing|non-reference|NA|A123-0_1|relocate2|sr|147,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_18117564,18117567,mPing|non-reference|NA|A123-0_1|relocate2|sr|148,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_19174833,19174836,mPing|non-reference|NA|A123-0_1|relocate2|sr|149,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_20971983,20971986,mPing|non-reference|NA|A123-0_1|relocate2|sr|150,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_22203353,22203356,mPing|non-reference|NA|A123-0_1|relocate2|sr|151,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_24203921,24203924,mPing|non-reference|NA|A123-0_1|relocate2|sr|152,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_24753651,24753654,mPing|non-reference|NA|A123-0_1|relocate2|sr|153,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_25086368,25086371,mPing|non-reference|NA|A123-0_1|relocate2|sr|154,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_26262315,26262318,mPing|non-reference|NA|A123-0_1|relocate2|sr|155,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_26688130,26688133,mPing|non-reference|NA|A123-0_1|relocate2|sr|156,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_26846761,26846764,mPing|non-reference|NA|A123-0_1|relocate2|sr|157,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_28470308,28470311,mPing|non-reference|NA|A123-0_1|relocate2|sr|158,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_28519793,28519796,mPing|non-reference|NA|A123-0_1|relocate2|sr|159,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_28577817,28577820,mPing|non-reference|NA|A123-0_1|relocate2|sr|160,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_28836745,28836748,mPing|non-reference|NA|A123-0_1|relocate2|sr|161,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_29239284,29239287,mPing|non-reference|NA|A123-0_1|relocate2|sr|162,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_29574402,29574405,mPing|non-reference|NA|A123-0_1|relocate2|sr|163,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_29779175,29779178,mPing|non-reference|NA|A123-0_1|relocate2|sr|164,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_30058248,30058251,mPing|non-reference|NA|A123-0_1|relocate2|sr|165,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_30489355,30489358,mPing|non-reference|NA|A123-0_1|relocate2|sr|166,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_30613089,30613092,mPing|non-reference|NA|A123-0_1|relocate2|sr|167,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_31848096,31848099,mPing|non-reference|NA|A123-0_1|relocate2|sr|168,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_32007444,32007447,mPing|non-reference|NA|A123-0_1|relocate2|sr|169,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_32923406,32923409,mPing|non-reference|NA|A123-0_1|relocate2|sr|170,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_33130124,33130127,mPing|non-reference|NA|A123-0_1|relocate2|sr|171,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_34212513,34212516,mPing|non-reference|NA|A123-0_1|relocate2|sr|172,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_34459499,34459502,mPing|non-reference|NA|A123-0_1|relocate2|sr|173,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029258.1_35141440,35141443,mPing|non-reference|NA|A123-0_1|relocate2|sr|174,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_8639819,8639822,mPing|non-reference|NA|A123-0_1|relocate2|sr|175,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_9332085,9332088,mPing|non-reference|NA|A123-0_1|relocate2|sr|176,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_9562247,9562250,mPing|non-reference|NA|A123-0_1|relocate2|sr|177,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_14006528,14006531,mPing|non-reference|NA|A123-0_1|relocate2|sr|178,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_14327561,14327564,mPing|non-reference|NA|A123-0_1|relocate2|sr|179,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_18718159,18718162,mPing|non-reference|NA|A123-0_1|relocate2|sr|180,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_19345313,19345316,mPing|non-reference|NA|A123-0_1|relocate2|sr|181,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_19915922,19915925,mPing|non-reference|NA|A123-0_1|relocate2|sr|182,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_19988150,19988153,mPing|non-reference|NA|A123-0_1|relocate2|sr|183,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_20639001,20639004,mPing|non-reference|NA|A123-0_1|relocate2|sr|184,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_20701301,20701304,mPing|non-reference|NA|A123-0_1|relocate2|sr|185,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_20906353,20906356,mPing|non-reference|NA|A123-0_1|relocate2|sr|186,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_21249875,21249878,mPing|non-reference|NA|A123-0_1|relocate2|sr|187,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_22423569,22423572,mPing|non-reference|NA|A123-0_1|relocate2|sr|188,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_22880497,22880500,mPing|non-reference|NA|A123-0_1|relocate2|sr|189,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_22883629,22883632,mPing|non-reference|NA|A123-0_1|relocate2|sr|190,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_23006034,23006037,mPing|non-reference|NA|A123-0_1|relocate2|sr|191,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_23475677,23475680,mPing|non-reference|NA|A123-0_1|relocate2|sr|192,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_24925072,24925075,mPing|non-reference|NA|A123-0_1|relocate2|sr|193,0,+,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_25028693,25028696,mPing|non-reference|NA|A123-0_1|relocate2|sr|194,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_25731832,25731835,mPing|non-reference|NA|A123-0_1|relocate2|sr|195,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_26226544,26226547,mPing|non-reference|NA|A123-0_1|relocate2|sr|196,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_26390442,26390445,mPing|non-reference|NA|A123-0_1|relocate2|sr|197,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_26423865,26423868,mPing|non-reference|NA|A123-0_1|relocate2|sr|198,0,-,A123-0_1_relocate2_nonredundant.bed
NC_029259.1_26750944,26750947,mPing|non-reference|NA|A123-0_1|relocate2|sr|199,0,+,A123-0_1_relocate2_nonredundant.bed
