value,A123-0,EG4-1,RIL2_1,RIL2_1-8,RIL2_2,RIL2_3,RIL2_4,RIL2_5,RIL2_6,RIL2_7,RIL2_8
NC_029256.1_14479331,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_14511719,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_14909830,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_15360898,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_15498263,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_15512723,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NC_029256.1_15512726,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_1579127,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_15807089,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_16130485,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1624376,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_16327643,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
NC_029256.1_16518914,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_1691678,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1715116,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_1744282,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_174497,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
NC_029256.1_174500,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_175182,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_18330589,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_18405049,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1852226,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1867482,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_18828920,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_18832726,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_18839793,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_18869330,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_18989741,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_19040114,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_19406444,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_19407316,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_1965199,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_20034906,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_20034909,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_20419243,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_2059112,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_20599334,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
NC_029256.1_20599337,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_21174656,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_2119030,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_21229112,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_21351850,0.0,1.0,0.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
NC_029256.1_21412334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_214352,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
NC_029256.1_21556918,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_21561969,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_21565699,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
NC_029256.1_21677316,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_2179875,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_22102811,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_22415369,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_22415874,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_22465946,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_22959176,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_23112819,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_23188885,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_23345273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_23512402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_2377589,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_23928391,0.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
NC_029256.1_23933401,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_24027733,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_24080499,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_24082029,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_24082610,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_24082897,1.0,1.0,0.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
NC_029256.1_24088701,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_24177660,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_24181479,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NC_029256.1_24191676,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_24252949,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NC_029256.1_24465136,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_24470954,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_24607313,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_24610174,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
NC_029256.1_24908692,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_24966588,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_24966591,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_24969376,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_25086304,1.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
NC_029256.1_25086307,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_25256700,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_25280980,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_25281770,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
NC_029256.1_2540053,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
NC_029256.1_25680935,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_25680938,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_25865811,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_25866208,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
NC_029256.1_26106793,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
NC_029256.1_26106796,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_26205753,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
NC_029256.1_26422017,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_26514453,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_26760890,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_26924632,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_27250493,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_27292707,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_27497110,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_27497113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_27497751,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_27507653,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_27924847,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_27951800,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_2813135,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_28161487,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_28311525,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_28356228,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_28356231,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_28394436,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_28394513,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_28490064,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
NC_029256.1_28811148,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_28827618,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_28918069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_28924284,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_28927297,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_28936523,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_28943928,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_2924,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_29276378,0.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_29322742,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_29328835,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_29328838,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_29378591,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_29398063,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_29494571,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_29496301,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_29496304,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_29566913,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_2959989,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_29926800,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
NC_029256.1_29931361,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_29935735,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
NC_029256.1_29935738,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_30230312,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_30235962,1.0,0.0,1.0,5.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
NC_029256.1_30569862,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_30623912,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_30813984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_30864901,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_30895564,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
NC_029256.1_30897374,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_30897454,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_30986695,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_31340202,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_31412431,1.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
NC_029256.1_31458870,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_31556969,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
NC_029256.1_316534,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
NC_029256.1_316537,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_31711998,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_31849839,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_31877585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_32042994,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
NC_029256.1_32089021,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_32204668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_32291479,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_32293359,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
NC_029256.1_32334685,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_32491650,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_32658454,1.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
NC_029256.1_32784946,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_32793389,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_32796501,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_33146261,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_33282256,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_33282259,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_33619293,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_33763891,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_33766058,1.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
NC_029256.1_33766061,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_33768016,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_33781381,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
NC_029256.1_33781384,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_34086311,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
NC_029256.1_34086474,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_34281435,0.0,1.0,0.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
NC_029256.1_34353550,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_34353553,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_3444991,0.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_3444994,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_34494348,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_34505905,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_34612511,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_34646477,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_34666357,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_34695077,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_34726029,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_3479256,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_3480371,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
NC_029256.1_34897488,0.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
NC_029256.1_34998828,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_35124101,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_35136769,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_35178668,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_35200488,1.0,0.0,1.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
NC_029256.1_35200491,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_35228862,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
NC_029256.1_35465444,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
NC_029256.1_35468649,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_35473331,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_35488880,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_35588614,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NC_029256.1_35607598,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
NC_029256.1_35783192,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_35936947,1.0,0.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
NC_029256.1_36062159,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_36114223,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_36149917,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NC_029256.1_36149920,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
NC_029256.1_36150072,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC_029256.1_3616725,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
NC_029256.1_3619549,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
