RIL2_2,RIL2_8,RIL2_3,EG4-1,RIL2_6,RIL2_1-8,RIL2_4,RIL2_7,RIL2_5,A123-0,RIL2_1
NC_029256.1_6806760,NC_029256.1_6864903,NC_029256.1_6172232,NC_029256.1_3826731,NC_029256.1_3479256,NC_029256.1_6798864,NC_029256.1_3780848,NC_029256.1_6846278,NC_029256.1_6432233,NC_029256.1_6057238,NC_029256.1_6798864
NC_029256.1_6816417,NC_029256.1_7514414,NC_029256.1_6364926,NC_029256.1_3929764,NC_029256.1_3480371,NC_029256.1_7553869,NC_029256.1_3929764,NC_029256.1_6864903,NC_029256.1_6798864,NC_029256.1_6432233,NC_029256.1_7553869
NC_029256.1_6846281,NC_029256.1_7587835,NC_029256.1_6816414,NC_029256.1_4076463,NC_029256.1_3616725,NC_029256.1_8188977,NC_029256.1_4076463,NC_029256.1_7079397,NC_029256.1_7258561,NC_029256.1_8326624,NC_029256.1_8188977
NC_029256.1_6871749,NC_029256.1_7739100,NC_029256.1_6846278,NC_029256.1_4220009,NC_029256.1_3780848,NC_029256.1_8326624,NC_029256.1_4101859,NC_029256.1_7514411,NC_029256.1_7361750,NC_029256.1_8667985,NC_029256.1_8326624
NC_029256.1_7514411,NC_029256.1_8083871,NC_029256.1_6864903,NC_029256.1_4230076,NC_029256.1_3929767,NC_029256.1_8913054,NC_029256.1_4220009,NC_029256.1_7739100,NC_029256.1_8479731,NC_029256.1_8698445,NC_029256.1_8913054
NC_029256.1_7587835,NC_029256.1_8392201,NC_029256.1_7514411,NC_029256.1_5335610,NC_029256.1_4076463,NC_029256.1_10907374,NC_029256.1_5623713,NC_029256.1_8326624,NC_029256.1_8750743,NC_029256.1_15512723,NC_029256.1_10907374
NC_029256.1_7615198,NC_029256.1_8479731,NC_029256.1_7587835,NC_029256.1_5394628,NC_029256.1_4101859,NC_029256.1_13418286,NC_029256.1_5709001,NC_029256.1_11453096,NC_029256.1_8984850,NC_029256.1_16327643,NC_029256.1_13418286
NC_029256.1_7739100,NC_029256.1_8750743,NC_029256.1_7739100,NC_029256.1_6172232,NC_029256.1_4220009,NC_029256.1_14511719,NC_029256.1_6057238,NC_029256.1_13341831,NC_029256.1_9142464,NC_029256.1_20599334,NC_029256.1_14511719
NC_029256.1_8083871,NC_029256.1_8984850,NC_029256.1_8083871,NC_029256.1_6806760,NC_029256.1_4317760,NC_029256.1_15512726,NC_029256.1_6432233,NC_029256.1_13418286,NC_029256.1_9581604,NC_029256.1_21174656,NC_029256.1_15512726
NC_029256.1_8479731,NC_029256.1_9142464,NC_029256.1_8326624,NC_029256.1_6816414,NC_029256.1_5099241,NC_029256.1_15807089,NC_029256.1_6765966,NC_029256.1_15498263,NC_029256.1_9854677,NC_029256.1_21556918,NC_029256.1_15807089
NC_029256.1_8578347,NC_029256.1_9146586,NC_029256.1_10687603,NC_029256.1_6846278,NC_029256.1_5529828,NC_029256.1_16327643,NC_029256.1_6798864,NC_029256.1_18832726,NC_029256.1_10903900,NC_029256.1_21565699,NC_029256.1_16327643
NC_029256.1_8750605,NC_029256.1_9510987,NC_029256.1_11272005,NC_029256.1_6864903,NC_029256.1_6172232,NC_029256.1_20599337,NC_029256.1_8326624,NC_029256.1_18839793,NC_029256.1_11226134,NC_029256.1_23345273,NC_029256.1_20599337
NC_029256.1_8750743,NC_029256.1_9553319,NC_029256.1_12323224,NC_029256.1_7514411,NC_029256.1_6806760,NC_029256.1_21565699,NC_029256.1_13418286,NC_029256.1_18989741,NC_029256.1_11939748,NC_029256.1_24082897,NC_029256.1_21565699
NC_029256.1_8984850,NC_029256.1_9581604,NC_029256.1_13418286,NC_029256.1_8080398,NC_029256.1_6816414,NC_029256.1_23928391,NC_029256.1_15512723,NC_029256.1_20034906,NC_029256.1_12249227,NC_029256.1_24181479,NC_029256.1_23928391
NC_029256.1_9142464,NC_029256.1_9854680,NC_029256.1_15360898,NC_029256.1_8479731,NC_029256.1_6846281,NC_029256.1_24082610,NC_029256.1_16327643,NC_029256.1_21351850,NC_029256.1_15512726,NC_029256.1_24252949,NC_029256.1_24082610
NC_029256.1_9581604,NC_029256.1_10903900,NC_029256.1_15512723,NC_029256.1_8750743,NC_029256.1_6864903,NC_029256.1_24470954,NC_029256.1_19406444,NC_029256.1_21565699,NC_029256.1_16327643,NC_029256.1_25086304,NC_029256.1_24470954
NC_029256.1_9854677,NC_029256.1_11226134,NC_029256.1_16327643,NC_029256.1_9142464,NC_029256.1_7159687,NC_029256.1_25086304,NC_029256.1_20599334,NC_029256.1_22415369,NC_029256.1_18828920,NC_029256.1_25280980,NC_029256.1_25086304
NC_029256.1_10233765,NC_029256.1_13418286,NC_029256.1_20419243,NC_029256.1_9581604,NC_029256.1_7514411,NC_029256.1_25281770,NC_029256.1_21351850,NC_029256.1_23928391,NC_029256.1_20599334,NC_029256.1_25281770,NC_029256.1_25281770
NC_029256.1_10615260,NC_029256.1_13988867,NC_029256.1_21565699,NC_029256.1_10903900,NC_029256.1_7587835,NC_029256.1_25866208,NC_029256.1_21565699,NC_029256.1_23933401,NC_029256.1_21561969,NC_029256.1_25866208,NC_029256.1_25866208
NC_029256.1_10903900,NC_029256.1_15512723,NC_029256.1_22959176,NC_029256.1_11226134,NC_029256.1_7739100,NC_029256.1_26106793,NC_029256.1_24080499,NC_029256.1_24082897,NC_029256.1_21565699,NC_029256.1_26106793,NC_029256.1_26106793
NC_029256.1_11226137,NC_029256.1_16327643,NC_029256.1_24082897,NC_029256.1_11431995,NC_029256.1_8083871,NC_029256.1_26205753,NC_029256.1_24088701,NC_029256.1_24177660,NC_029256.1_21677316,NC_029256.1_26205753,NC_029256.1_26205753
NC_029256.1_12225807,NC_029256.1_16518914,NC_029256.1_24181479,NC_029256.1_12249227,NC_029256.1_8479731,NC_029256.1_26924632,NC_029256.1_24181479,NC_029256.1_24191676,NC_029256.1_23512402,NC_029256.1_27292707,NC_029256.1_26924632
NC_029256.1_12249227,NC_029256.1_20599334,NC_029256.1_24252949,NC_029256.1_12375108,NC_029256.1_8750743,NC_029256.1_27497110,NC_029256.1_24252949,NC_029256.1_24610174,NC_029256.1_23928391,NC_029256.1_28161487,NC_029256.1_27497110
NC_029256.1_13935274,NC_029256.1_21565699,NC_029256.1_24966588,NC_029256.1_13935274,NC_029256.1_8984850,NC_029256.1_28827618,NC_029256.1_25086304,NC_029256.1_24966588,NC_029256.1_24082897,NC_029256.1_28490064,NC_029256.1_28827618
NC_029256.1_14047375,NC_029256.1_22415874,NC_029256.1_25086304,NC_029256.1_14047375,NC_029256.1_9142464,NC_029256.1_29935735,NC_029256.1_25281770,NC_029256.1_25256700,NC_029256.1_24607313,NC_029256.1_29931361,NC_029256.1_29935735
NC_029256.1_14384273,NC_029256.1_23188885,NC_029256.1_25281770,NC_029256.1_16130485,NC_029256.1_9581604,NC_029256.1_30235962,NC_029256.1_25866208,NC_029256.1_28356231,NC_029256.1_24610174,NC_029256.1_29935735,NC_029256.1_30235962
NC_029256.1_14479331,NC_029256.1_24082897,NC_029256.1_25866208,NC_029256.1_18405049,NC_029256.1_9854677,NC_029256.1_30864901,NC_029256.1_26106793,NC_029256.1_28924284,NC_029256.1_25086307,NC_029256.1_30235962,NC_029256.1_30864901
NC_029256.1_18832726,NC_029256.1_24181479,NC_029256.1_26106796,NC_029256.1_18989741,NC_029256.1_9908497,NC_029256.1_32658454,NC_029256.1_26205753,NC_029256.1_28927297,NC_029256.1_25281770,NC_029256.1_31412431,NC_029256.1_32658454
NC_029256.1_18989741,NC_029256.1_24252949,NC_029256.1_26205753,NC_029256.1_19040114,NC_029256.1_10027124,NC_029256.1_32784946,NC_029256.1_27250493,NC_029256.1_29276378,NC_029256.1_25680938,NC_029256.1_31877585,NC_029256.1_32784946
NC_029256.1_20034909,NC_029256.1_24908692,NC_029256.1_27951800,NC_029256.1_19407316,NC_029256.1_10903900,NC_029256.1_33282256,NC_029256.1_28311525,NC_029256.1_29322742,NC_029256.1_25866208,NC_029256.1_32658454,NC_029256.1_33282256
NC_029256.1_21351850,NC_029256.1_25086304,NC_029256.1_28356231,NC_029256.1_21229112,NC_029256.1_10996524,NC_029256.1_33781381,NC_029256.1_28490064,NC_029256.1_29328835,NC_029256.1_26106796,NC_029256.1_33282256,NC_029256.1_33781381
NC_029256.1_21565699,NC_029256.1_25281770,NC_029256.1_28394436,NC_029256.1_21351850,NC_029256.1_11049517,NC_029256.1_34646477,NC_029256.1_29378591,NC_029256.1_29494571,NC_029256.1_26205753,NC_029256.1_33766058,NC_029256.1_34646477
NC_029256.1_22415369,NC_029256.1_26106793,NC_029256.1_28924284,NC_029256.1_21412334,NC_029256.1_11226134,NC_029256.1_34695077,NC_029256.1_29935735,NC_029256.1_29926800,NC_029256.1_26422017,NC_029256.1_35200488,NC_029256.1_34695077
NC_029256.1_23928391,NC_029256.1_26205753,NC_029256.1_28943928,NC_029256.1_21565699,NC_029256.1_12249227,NC_029256.1_34897488,NC_029256.1_30230312,NC_029256.1_30813984,NC_029256.1_26514453,NC_029256.1_35488880,NC_029256.1_34897488
NC_029256.1_24082897,NC_029256.1_28490064,NC_029256.1_29276378,NC_029256.1_22415369,NC_029256.1_13935274,NC_029256.1_35200488,NC_029256.1_30235962,NC_029256.1_30895564,NC_029256.1_26760890,NC_029256.1_35936947,NC_029256.1_35200488
NC_029256.1_24465136,NC_029256.1_29935735,NC_029256.1_29328838,NC_029256.1_22465946,NC_029256.1_14047375,NC_029256.1_35936947,NC_029256.1_31412431,NC_029256.1_31556969,NC_029256.1_27497113,NC_029256.1_36428441,NC_029256.1_35936947
NC_029256.1_24610174,NC_029256.1_30895564,NC_029256.1_29494571,NC_029256.1_23112819,NC_029256.1_14384273,NC_029256.1_36150072,NC_029256.1_32658454,NC_029256.1_31711998,NC_029256.1_27507653,NC_029256.1_36796589,NC_029256.1_36150072
NC_029256.1_24966588,NC_029256.1_30897374,NC_029256.1_29496301,NC_029256.1_24027733,NC_029256.1_14479331,NC_029256.1_36444862,NC_029256.1_32796501,NC_029256.1_32042994,NC_029256.1_28490064,NC_029256.1_38092037,NC_029256.1_36444862
NC_029256.1_25256700,NC_029256.1_31340202,NC_029256.1_29926800,NC_029256.1_24082897,NC_029256.1_14909830,NC_029256.1_36796592,NC_029256.1_33766058,NC_029256.1_32291479,NC_029256.1_29935738,NC_029256.1_38092618,NC_029256.1_36796592
NC_029256.1_25680935,NC_029256.1_31556969,NC_029256.1_30895564,NC_029256.1_24969376,NC_029256.1_18330589,NC_029256.1_37399910,NC_029256.1_33768016,NC_029256.1_32293359,NC_029256.1_30235962,NC_029256.1_39152890,NC_029256.1_37399910
NC_029256.1_27924847,NC_029256.1_32042994,NC_029256.1_31458870,NC_029256.1_25256700,NC_029256.1_18869330,NC_029256.1_38092037,NC_029256.1_34086311,NC_029256.1_32793389,NC_029256.1_31412431,NC_029256.1_39428259,NC_029256.1_38092037
NC_029256.1_28356228,NC_029256.1_32293359,NC_029256.1_31556969,NC_029256.1_25865811,NC_029256.1_18989741,NC_029256.1_38092621,NC_029256.1_34281435,NC_029256.1_33282259,NC_029256.1_31849839,NC_029256.1_39666830,NC_029256.1_38092621
NC_029256.1_28394513,NC_029256.1_33763891,NC_029256.1_32042994,NC_029256.1_27497751,NC_029256.1_20034906,NC_029256.1_38679984,NC_029256.1_34353553,NC_029256.1_33781381,NC_029256.1_32658454,NC_029256.1_39899559,NC_029256.1_38679984
NC_029256.1_28811148,NC_029256.1_33766061,NC_029256.1_32293359,NC_029256.1_28356228,NC_029256.1_21351850,NC_029256.1_39423451,NC_029256.1_34494348,NC_029256.1_35200488,NC_029256.1_33282256,NC_029256.1_39904179,NC_029256.1_39423451
NC_029256.1_28924284,NC_029256.1_34086311,NC_029256.1_33766058,NC_029256.1_28918069,NC_029256.1_21565699,NC_029256.1_39666830,NC_029256.1_34897488,NC_029256.1_35936947,NC_029256.1_33781384,NC_029256.1_40702080,NC_029256.1_39666830
NC_029256.1_29276378,NC_029256.1_34281435,NC_029256.1_34086311,NC_029256.1_28924284,NC_029256.1_22102811,NC_029256.1_39899559,NC_029256.1_35124101,NC_029256.1_36796589,NC_029256.1_34086474,NC_029256.1_42038821,NC_029256.1_39899559
NC_029256.1_29322742,NC_029256.1_34666357,NC_029256.1_34281435,NC_029256.1_29276378,NC_029256.1_22415369,NC_029256.1_39904179,NC_029256.1_35465444,NC_029256.1_37001887,NC_029256.1_35200488,NC_029256.1_42320293,NC_029256.1_39904179
NC_029256.1_29328835,NC_029256.1_35136769,NC_029256.1_34353550,NC_029256.1_29328835,NC_029256.1_23928391,NC_029256.1_40325061,NC_029256.1_35468649,NC_029256.1_38092037,NC_029256.1_35228862,NC_029256.1_42365748,NC_029256.1_40325061
NC_029256.1_29935738,NC_029256.1_35200488,NC_029256.1_34505905,NC_029256.1_29398063,NC_029256.1_24082029,NC_029256.1_40469771,NC_029256.1_35607598,NC_029256.1_39666830,NC_029256.1_35936947,NC_029257.1_458589,NC_029256.1_40469771
NC_029256.1_30235962,NC_029256.1_35588614,NC_029256.1_34726029,NC_029256.1_29494571,NC_029256.1_24082897,NC_029256.1_40641753,NC_029256.1_36149920,NC_029256.1_39899559,NC_029256.1_36475678,NC_029257.1_681903,NC_029256.1_40641753
NC_029256.1_30897454,NC_029256.1_35936947,NC_029256.1_35200491,NC_029256.1_29496304,NC_029256.1_24610174,NC_029256.1_40692631,NC_029256.1_36267658,NC_029256.1_39904182,NC_029256.1_36796592,NC_029257.1_2831106,NC_029256.1_40692631
NC_029256.1_31412431,NC_029256.1_36757056,NC_029256.1_35936947,NC_029256.1_29926800,NC_029256.1_24966591,NC_029256.1_40818574,NC_029256.1_36270510,NC_029256.1_40984350,NC_029256.1_37001210,NC_029257.1_2834012,NC_029256.1_40818574
NC_029256.1_32089021,NC_029256.1_36796589,NC_029256.1_36796589,NC_029256.1_30895564,NC_029256.1_24969376,NC_029256.1_40832861,NC_029256.1_36533847,NC_029256.1_42023274,NC_029256.1_37938918,NC_029257.1_2883907,NC_029256.1_40832861
NC_029256.1_32334685,NC_029256.1_37534439,NC_029256.1_38079293,NC_029256.1_31556969,NC_029256.1_25256700,NC_029256.1_40984350,NC_029256.1_37534439,NC_029256.1_42320293,NC_029256.1_38079781,NC_029257.1_3502593,NC_029256.1_40984350
NC_029256.1_32658454,NC_029256.1_37608003,NC_029256.1_38092037,NC_029256.1_32204668,NC_029256.1_25680935,NC_029256.1_41321422,NC_029256.1_37828360,NC_029257.1_458589,NC_029256.1_38092037,NC_029257.1_3639033,NC_029256.1_41321422
NC_029256.1_33146261,NC_029256.1_37828360,NC_029256.1_39234960,NC_029256.1_32293359,NC_029256.1_28356231,NC_029256.1_42023271,NC_029256.1_37898357,NC_029257.1_912063,NC_029256.1_39665182,NC_029257.1_3991330,NC_029256.1_42023271
NC_029256.1_33282256,NC_029256.1_38079778,NC_029256.1_39666830,NC_029256.1_33766058,NC_029256.1_28924284,NC_029256.1_42320293,NC_029256.1_38092037,NC_029257.1_1161810,NC_029256.1_39899559,NC_029257.1_4119847,NC_029256.1_42320293
NC_029256.1_33781381,NC_029256.1_38092037,NC_029256.1_39899559,NC_029256.1_34086311,NC_029256.1_28936523,NC_029257.1_458589,NC_029256.1_38092621,NC_029257.1_1583546,NC_029256.1_39904179,NC_029257.1_4243727,NC_029257.1_458589
NC_029256.1_35200488,NC_029256.1_38092618,NC_029256.1_39904179,NC_029256.1_34281435,NC_029256.1_29276378,NC_029257.1_2144409,NC_029256.1_38242705,NC_029257.1_2025375,NC_029256.1_40017828,NC_029257.1_4338129,NC_029257.1_2144409
NC_029256.1_35936947,NC_029256.1_38193461,NC_029256.1_40262215,NC_029256.1_34897488,NC_029256.1_29322742,NC_029257.1_3502593,NC_029256.1_38674211,NC_029257.1_3502593,NC_029256.1_40290945,NC_029257.1_4644590,NC_029257.1_3502593
NC_029256.1_36796589,NC_029256.1_38242705,NC_029256.1_40283834,NC_029256.1_34998828,NC_029256.1_29328838,NC_029257.1_3557086,NC_029256.1_38836859,NC_029257.1_3639030,NC_029256.1_41838557,NC_029257.1_6664414,NC_029257.1_3557086
NC_029256.1_38085596,NC_029256.1_38636691,NC_029256.1_40469774,NC_029256.1_35178668,NC_029256.1_29494571,NC_029257.1_4253032,NC_029256.1_38859875,NC_029257.1_4314534,NC_029256.1_42023271,NC_029257.1_7838214,NC_029257.1_4253032
NC_029256.1_38092037,NC_029256.1_38674214,NC_029256.1_40641753,NC_029256.1_35465444,NC_029256.1_29496304,NC_029257.1_4699554,NC_029256.1_38898351,NC_029257.1_4595622,NC_029256.1_42320293,NC_029257.1_9418869,NC_029257.1_4699554
NC_029256.1_38898351,NC_029256.1_38859875,NC_029256.1_40692631,NC_029256.1_35473331,NC_029256.1_29566913,NC_029257.1_5857963,NC_029256.1_39147393,NC_029257.1_4699554,NC_029257.1_458589,NC_029257.1_9438879,NC_029257.1_5857963
NC_029256.1_39666830,NC_029256.1_38898354,NC_029256.1_40818574,NC_029256.1_35607598,NC_029256.1_29926800,NC_029257.1_8898162,NC_029256.1_39212319,NC_029257.1_4999904,NC_029257.1_3502593,NC_029257.1_9640960,NC_029257.1_8898162
NC_029256.1_39804989,NC_029256.1_39147393,NC_029256.1_40832861,NC_029256.1_35783192,NC_029256.1_30235962,NC_029257.1_9025179,NC_029256.1_39230662,NC_029257.1_7346135,NC_029257.1_5309147,NC_029257.1_10202907,NC_029257.1_9025179
NC_029256.1_39899559,NC_029256.1_39212319,NC_029256.1_41321637,NC_029256.1_36114223,NC_029256.1_30569862,NC_029257.1_9418872,NC_029256.1_39543337,NC_029257.1_7460595,NC_029257.1_5635542,NC_029257.1_11041881,NC_029257.1_9418872
NC_029256.1_42023271,NC_029256.1_39543337,NC_029256.1_41774917,NC_029256.1_36248501,NC_029256.1_30623912,NC_029257.1_10076666,NC_029256.1_39957256,NC_029257.1_8187916,NC_029257.1_5857963,NC_029257.1_12298995,NC_029257.1_10076666
NC_029256.1_42038880,NC_029256.1_39957256,NC_029256.1_41818258,NC_029256.1_36270510,NC_029256.1_30895564,NC_029257.1_12467702,NC_029256.1_40262215,NC_029257.1_8898159,NC_029257.1_8928925,NC_029257.1_13202373,NC_029257.1_12467702
NC_029256.1_42320293,NC_029256.1_40262215,NC_029256.1_41979187,NC_029256.1_36466451,NC_029256.1_30986695,NC_029257.1_12895213,NC_029256.1_40469771,NC_029257.1_9418869,NC_029257.1_9438879,NC_029257.1_14819923,NC_029257.1_12895213
NC_029257.1_223442,NC_029256.1_40984350,NC_029256.1_42144080,NC_029256.1_37828360,NC_029256.1_31556969,NC_029257.1_13021551,NC_029256.1_40641753,NC_029257.1_10076666,NC_029257.1_9640963,NC_029257.1_15709146,NC_029257.1_13021551
NC_029257.1_913612,NC_029256.1_42023271,NC_029256.1_42599828,NC_029256.1_38092037,NC_029256.1_32042994,NC_029257.1_13200713,NC_029256.1_40684504,NC_029257.1_10202907,NC_029257.1_10202907,NC_029257.1_16222087,NC_029257.1_13200713
NC_029257.1_1161810,NC_029256.1_42320293,NC_029257.1_458589,NC_029256.1_38092618,NC_029256.1_32293359,NC_029257.1_13403984,NC_029256.1_40692631,NC_029257.1_11041881,NC_029257.1_11041881,NC_029257.1_16678146,NC_029257.1_13403984
NC_029257.1_1493778,NC_029257.1_458589,NC_029257.1_1656531,NC_029256.1_38426092,NC_029256.1_32491650,NC_029257.1_14601855,NC_029256.1_40818574,NC_029257.1_12298995,NC_029257.1_11421722,NC_029257.1_16986965,NC_029257.1_14601855
NC_029257.1_1583546,NC_029257.1_539694,NC_029257.1_3475610,NC_029256.1_38625309,NC_029256.1_33619293,NC_029257.1_15520985,NC_029256.1_40832861,NC_029257.1_12469663,NC_029257.1_12298995,NC_029257.1_17969908,NC_029257.1_15520985
NC_029257.1_2025375,NC_029257.1_3502593,NC_029257.1_3502593,NC_029256.1_38649195,NC_029256.1_33766058,NC_029257.1_16222087,NC_029256.1_41148510,NC_029257.1_13038267,NC_029257.1_16222087,NC_029257.1_18251855,NC_029257.1_16222087
NC_029257.1_3502593,NC_029257.1_4012489,NC_029257.1_4368693,NC_029256.1_38674211,NC_029256.1_34086311,NC_029257.1_16367207,NC_029256.1_41774920,NC_029257.1_16222087,NC_029257.1_16678146,NC_029257.1_18266144,NC_029257.1_16367207
NC_029257.1_3639033,NC_029257.1_5856419,NC_029257.1_4494434,NC_029256.1_38859875,NC_029256.1_34281435,NC_029257.1_16678149,NC_029256.1_41818258,NC_029257.1_16678146,NC_029257.1_16986968,NC_029257.1_18302508,NC_029257.1_16678149
NC_029257.1_4314534,NC_029257.1_6544712,NC_029257.1_5857963,NC_029256.1_38898351,NC_029256.1_34353550,NC_029257.1_16986965,NC_029256.1_41979187,NC_029257.1_16986965,NC_029257.1_18302508,NC_029257.1_18458308,NC_029257.1_16986965
NC_029257.1_4699554,NC_029257.1_7113419,NC_029257.1_7113422,NC_029256.1_39146347,NC_029256.1_34612511,NC_029257.1_18255996,NC_029256.1_42144077,NC_029257.1_20589716,NC_029257.1_18458308,NC_029257.1_18464452,NC_029257.1_18255996
NC_029257.1_4999904,NC_029257.1_7248627,NC_029257.1_7346135,NC_029256.1_39147393,NC_029256.1_34897488,NC_029257.1_18569682,NC_029256.1_42156580,NC_029257.1_20722278,NC_029257.1_20605900,NC_029257.1_23175181,NC_029257.1_18569682
NC_029257.1_5033283,NC_029257.1_7346135,NC_029257.1_9438879,NC_029256.1_39152986,NC_029256.1_35465444,NC_029257.1_18621511,NC_029256.1_42567727,NC_029257.1_21001167,NC_029257.1_22547038,NC_029257.1_23819509,NC_029257.1_18621511
NC_029257.1_5545954,NC_029257.1_7460592,NC_029257.1_10202907,NC_029256.1_39364001,NC_029256.1_35607598,NC_029257.1_19050841,NC_029256.1_42599828,NC_029257.1_21319933,NC_029257.1_22818922,NC_029257.1_24157147,NC_029257.1_19050841
NC_029257.1_6007526,NC_029257.1_8187916,NC_029257.1_11041881,NC_029256.1_39395727,NC_029256.1_36062159,NC_029257.1_19204910,NC_029256.1_42930249,NC_029257.1_21443359,NC_029257.1_24976794,NC_029257.1_24264668,NC_029257.1_19204910
NC_029257.1_7113419,NC_029257.1_8898162,NC_029257.1_12298995,NC_029256.1_39543337,NC_029256.1_36114223,NC_029257.1_19341459,NC_029256.1_43245260,NC_029257.1_21515955,NC_029257.1_26644793,NC_029257.1_25760794,NC_029257.1_19341459
NC_029257.1_7346135,NC_029257.1_10062829,NC_029257.1_14680969,NC_029256.1_39957256,NC_029256.1_36149917,NC_029257.1_19487222,NC_029257.1_223439,NC_029257.1_22013098,NC_029257.1_26654927,NC_029257.1_26207952,NC_029257.1_19487222
NC_029257.1_7460592,NC_029257.1_10076666,NC_029257.1_15361022,NC_029256.1_40220461,NC_029256.1_36267658,NC_029257.1_20000329,NC_029257.1_913612,NC_029257.1_22270894,NC_029257.1_27148056,NC_029257.1_27148056,NC_029257.1_20000329
NC_029257.1_8187916,NC_029257.1_10202910,NC_029257.1_16222087,NC_029256.1_40446605,NC_029256.1_36270510,NC_029257.1_20144822,NC_029257.1_1161810,NC_029257.1_22478976,NC_029257.1_28430657,NC_029257.1_27201254,NC_029257.1_20144822
NC_029257.1_8898162,NC_029257.1_11041881,NC_029257.1_16678149,NC_029256.1_40469771,NC_029256.1_36444964,NC_029257.1_20589716,NC_029257.1_1558387,NC_029257.1_22621728,NC_029257.1_28829173,NC_029257.1_28383043,NC_029257.1_20589716
NC_029257.1_9418869,NC_029257.1_12298998,NC_029257.1_16748399,NC_029256.1_40641753,NC_029256.1_36466362,NC_029257.1_20722278,NC_029257.1_1583546,NC_029257.1_23882556,NC_029257.1_28948533,NC_029257.1_28948533,NC_029257.1_20722278
NC_029257.1_10076666,NC_029257.1_12787872,NC_029257.1_16986965,NC_029256.1_40818574,NC_029256.1_37534439,NC_029257.1_21001167,NC_029257.1_2025375,NC_029257.1_24014617,NC_029257.1_30375300,NC_029257.1_29990405,NC_029257.1_21001167
NC_029257.1_12467699,NC_029257.1_12846346,NC_029257.1_17969908,NC_029256.1_40832861,NC_029256.1_37828360,NC_029257.1_21319933,NC_029257.1_3502596,NC_029257.1_24215955,NC_029257.1_30427537,NC_029257.1_30089816,NC_029257.1_21319933
NC_029257.1_13200713,NC_029257.1_14120340,NC_029257.1_18302508,NC_029256.1_41148510,NC_029256.1_38092040,NC_029257.1_21515952,NC_029257.1_3639030,NC_029257.1_24264668,NC_029257.1_30902244,NC_029257.1_30375297,NC_029257.1_21515952
NC_029257.1_13403984,NC_029257.1_16222087,NC_029257.1_18458308,NC_029256.1_41293487,NC_029256.1_38092621,NC_029257.1_22478976,NC_029257.1_4314534,NC_029257.1_25548874,NC_029257.1_31053561,NC_029257.1_30902244,NC_029257.1_22478976
NC_029257.1_14601852,NC_029257.1_16678146,NC_029257.1_19968187,NC_029256.1_41818258,NC_029256.1_38160477,NC_029257.1_22515554,NC_029257.1_4699554,NC_029257.1_25969391,NC_029257.1_31670396,NC_029257.1_30923597,NC_029257.1_22515554
